15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
15:56:50 : DEBUG | Player 01efbc9e00 requesting to move to direction 4
