16:20:58 : INFO | FPS: 532, deltatime: 0.001879
16:20:58 : INFO | FPS: 533, deltatime: 0.001874
16:20:58 : INFO | FPS: 550, deltatime: 0.001815
16:20:58 : INFO | FPS: 183, deltatime: 0.005453
16:20:58 : INFO | FPS: 775, deltatime: 0.001289
16:20:58 : INFO | FPS: 473, deltatime: 0.002112
16:20:58 : INFO | FPS: 541, deltatime: 0.001845
16:20:58 : INFO | FPS: 528, deltatime: 0.001893
16:20:58 : INFO | FPS: 1254, deltatime: 0.000797
16:20:58 : INFO | FPS: 252, deltatime: 0.003959
16:20:58 : INFO | FPS: 189, deltatime: 0.005287
16:20:58 : INFO | FPS: 573, deltatime: 0.001744
16:20:58 : INFO | FPS: 536, deltatime: 0.001863
16:20:58 : INFO | FPS: 544, deltatime: 0.001836
16:20:58 : INFO | FPS: 1826, deltatime: 0.000547
16:20:58 : INFO | FPS: 323, deltatime: 0.003093
16:20:58 : INFO | FPS: 545, deltatime: 0.001832
16:20:58 : INFO | FPS: 212, deltatime: 0.004699
16:20:58 : INFO | FPS: 508, deltatime: 0.001965
16:20:58 : INFO | FPS: 543, deltatime: 0.001840
16:20:58 : INFO | FPS: 532, deltatime: 0.001879
16:20:58 : INFO | FPS: 546, deltatime: 0.001828
16:20:58 : INFO | FPS: 553, deltatime: 0.001806
16:20:58 : INFO | FPS: 561, deltatime: 0.001780
16:20:58 : INFO | FPS: 194, deltatime: 0.005152
16:20:58 : INFO | FPS: 749, deltatime: 0.001334
16:20:58 : INFO | FPS: 512, deltatime: 0.001952
16:20:58 : INFO | FPS: 529, deltatime: 0.001890
16:20:58 : INFO | FPS: 528, deltatime: 0.001891
16:20:58 : INFO | FPS: 563, deltatime: 0.001776
16:20:58 : INFO | FPS: 401, deltatime: 0.002488
16:20:58 : INFO | FPS: 853, deltatime: 0.001171
16:20:58 : INFO | FPS: 186, deltatime: 0.005373
16:20:58 : INFO | FPS: 652, deltatime: 0.001532
16:20:58 : INFO | FPS: 566, deltatime: 0.001767
16:20:58 : INFO | FPS: 538, deltatime: 0.001856
16:20:58 : INFO | FPS: 1968, deltatime: 0.000508
16:20:58 : INFO | FPS: 330, deltatime: 0.003029
16:20:58 : INFO | FPS: 165, deltatime: 0.006052
16:20:58 : INFO | FPS: 3100, deltatime: 0.000323
16:20:59 : INFO | FPS: 493, deltatime: 0.002028
16:20:59 : INFO | FPS: 276, deltatime: 0.003613
16:20:59 : INFO | FPS: 642, deltatime: 0.001556
16:20:59 : INFO | FPS: 1531, deltatime: 0.000653
16:20:59 : INFO | FPS: 1275, deltatime: 0.000784
16:20:59 : INFO | FPS: 336, deltatime: 0.002971
16:20:59 : INFO | FPS: 510, deltatime: 0.001958
16:20:59 : INFO | FPS: 328, deltatime: 0.003048
16:20:59 : INFO | FPS: 1398, deltatime: 0.000715
16:20:59 : INFO | FPS: 505, deltatime: 0.001977
16:20:59 : INFO | FPS: 579, deltatime: 0.001726
16:20:59 : INFO | FPS: 544, deltatime: 0.001835
16:20:59 : INFO | FPS: 179, deltatime: 0.005566
16:20:59 : INFO | FPS: 3657, deltatime: 0.000273
16:20:59 : INFO | FPS: 649, deltatime: 0.001540
16:20:59 : INFO | FPS: 560, deltatime: 0.001783
16:20:59 : INFO | FPS: 77, deltatime: 0.012956
16:20:59 : INFO | FPS: 2292, deltatime: 0.000436
16:20:59 : INFO | FPS: 333, deltatime: 0.003002
16:20:59 : INFO | FPS: 77, deltatime: 0.012890
16:20:59 : INFO | FPS: 100, deltatime: 0.009955
16:20:59 : INFO | FPS: 100, deltatime: 0.009922
16:20:59 : INFO | FPS: 105, deltatime: 0.009494
16:20:59 : INFO | FPS: 73, deltatime: 0.013658
16:20:59 : INFO | FPS: 202, deltatime: 0.004942
16:20:59 : INFO | FPS: 175, deltatime: 0.005698
16:20:59 : INFO | FPS: 543, deltatime: 0.001841
16:20:59 : INFO | FPS: 223, deltatime: 0.004477
16:20:59 : INFO | FPS: 312, deltatime: 0.003202
16:20:59 : INFO | FPS: 1137, deltatime: 0.000879
16:20:59 : INFO | FPS: 387, deltatime: 0.002582
16:20:59 : INFO | FPS: 529, deltatime: 0.001887
16:20:59 : INFO | FPS: 530, deltatime: 0.001884
16:20:59 : INFO | FPS: 560, deltatime: 0.001785
16:20:59 : INFO | FPS: 551, deltatime: 0.001812
16:20:59 : INFO | FPS: 179, deltatime: 0.005586
16:20:59 : INFO | FPS: 502, deltatime: 0.001989
16:20:59 : INFO | FPS: 559, deltatime: 0.001786
16:20:59 : INFO | FPS: 554, deltatime: 0.001802
16:20:59 : INFO | FPS: 532, deltatime: 0.001879
16:20:59 : INFO | FPS: 536, deltatime: 0.001866
16:20:59 : INFO | FPS: 618, deltatime: 0.001616
16:20:59 : INFO | FPS: 203, deltatime: 0.004908
16:20:59 : INFO | FPS: 646, deltatime: 0.001547
16:20:59 : INFO | FPS: 334, deltatime: 0.002986
16:20:59 : INFO | FPS: 621, deltatime: 0.001609
16:20:59 : INFO | FPS: 595, deltatime: 0.001679
16:20:59 : INFO | FPS: 574, deltatime: 0.001740
16:20:59 : INFO | FPS: 622, deltatime: 0.001606
16:20:59 : INFO | FPS: 222, deltatime: 0.004484
16:20:59 : INFO | FPS: 572, deltatime: 0.001746
16:20:59 : INFO | FPS: 595, deltatime: 0.001679
16:20:59 : INFO | FPS: 542, deltatime: 0.001843
16:20:59 : INFO | FPS: 533, deltatime: 0.001873
16:20:59 : INFO | FPS: 550, deltatime: 0.001817
16:20:59 : INFO | FPS: 595, deltatime: 0.001680
16:20:59 : INFO | FPS: 575, deltatime: 0.001736
16:20:59 : INFO | FPS: 206, deltatime: 0.004845
16:20:59 : INFO | FPS: 567, deltatime: 0.001763
16:20:59 : INFO | FPS: 583, deltatime: 0.001713
16:20:59 : INFO | FPS: 628, deltatime: 0.001590
16:20:59 : INFO | FPS: 567, deltatime: 0.001763
16:20:59 : INFO | FPS: 544, deltatime: 0.001837
16:20:59 : INFO | FPS: 564, deltatime: 0.001772
16:20:59 : INFO | FPS: 234, deltatime: 0.004262
16:20:59 : INFO | FPS: 521, deltatime: 0.001917
16:20:59 : INFO | FPS: 484, deltatime: 0.002063
16:20:59 : INFO | FPS: 512, deltatime: 0.001951
16:20:59 : INFO | FPS: 522, deltatime: 0.001912
16:20:59 : INFO | FPS: 529, deltatime: 0.001890
16:20:59 : INFO | FPS: 528, deltatime: 0.001893
16:20:59 : INFO | FPS: 531, deltatime: 0.001882
16:20:59 : INFO | FPS: 166, deltatime: 0.005991
16:20:59 : INFO | FPS: 2273, deltatime: 0.000440
16:20:59 : INFO | FPS: 270, deltatime: 0.003698
16:20:59 : INFO | FPS: 548, deltatime: 0.001823
16:20:59 : INFO | FPS: 147, deltatime: 0.006793
16:20:59 : INFO | FPS: 839, deltatime: 0.001191
16:20:59 : INFO | FPS: 88, deltatime: 0.011296
16:20:59 : INFO | FPS: 522, deltatime: 0.001914
16:20:59 : INFO | FPS: 176, deltatime: 0.005650
16:20:59 : INFO | FPS: 318, deltatime: 0.003141
16:20:59 : INFO | FPS: 194, deltatime: 0.005147
16:20:59 : INFO | FPS: 95, deltatime: 0.010448
16:20:59 : INFO | FPS: 161, deltatime: 0.006187
16:20:59 : INFO | FPS: 62, deltatime: 0.016000
16:20:59 : INFO | FPS: 248, deltatime: 0.004031
16:20:59 : INFO | FPS: 106, deltatime: 0.009420
16:20:59 : INFO | FPS: 561, deltatime: 0.001782
16:20:59 : INFO | FPS: 560, deltatime: 0.001786
16:20:59 : INFO | FPS: 585, deltatime: 0.001708
16:20:59 : INFO | FPS: 580, deltatime: 0.001721
16:20:59 : INFO | FPS: 205, deltatime: 0.004855
16:20:59 : INFO | FPS: 578, deltatime: 0.001729
16:20:59 : INFO | FPS: 556, deltatime: 0.001797
16:20:59 : INFO | FPS: 561, deltatime: 0.001780
16:20:59 : INFO | FPS: 595, deltatime: 0.001681
16:20:59 : INFO | FPS: 574, deltatime: 0.001740
16:20:59 : INFO | FPS: 605, deltatime: 0.001653
16:20:59 : INFO | FPS: 177, deltatime: 0.005623
16:20:59 : INFO | FPS: 572, deltatime: 0.001748
16:20:59 : INFO | FPS: 525, deltatime: 0.001905
16:20:59 : INFO | FPS: 487, deltatime: 0.002051
16:20:59 : INFO | FPS: 507, deltatime: 0.001970
16:20:59 : INFO | FPS: 455, deltatime: 0.002197
16:20:59 : INFO | FPS: 1485, deltatime: 0.000673
16:20:59 : INFO | FPS: 103, deltatime: 0.009666
16:20:59 : INFO | FPS: 2213, deltatime: 0.000452
16:20:59 : INFO | FPS: 684, deltatime: 0.001462
16:20:59 : INFO | FPS: 502, deltatime: 0.001990
16:20:59 : INFO | FPS: 1779, deltatime: 0.000562
16:20:59 : INFO | FPS: 570, deltatime: 0.001751
16:20:59 : INFO | FPS: 355, deltatime: 0.002815
16:20:59 : INFO | FPS: 317, deltatime: 0.003153
16:20:59 : INFO | FPS: 595, deltatime: 0.001680
16:20:59 : INFO | FPS: 608, deltatime: 0.001644
16:20:59 : INFO | FPS: 566, deltatime: 0.001766
16:20:59 : INFO | FPS: 572, deltatime: 0.001746
16:20:59 : INFO | FPS: 562, deltatime: 0.001779
16:20:59 : INFO | FPS: 583, deltatime: 0.001715
16:20:59 : INFO | FPS: 591, deltatime: 0.001690
16:20:59 : INFO | FPS: 306, deltatime: 0.003260
16:20:59 : INFO | FPS: 558, deltatime: 0.001790
16:20:59 : INFO | FPS: 584, deltatime: 0.001711
16:20:59 : INFO | FPS: 617, deltatime: 0.001621
16:20:59 : INFO | FPS: 586, deltatime: 0.001704
16:20:59 : INFO | FPS: 563, deltatime: 0.001775
16:20:59 : INFO | FPS: 559, deltatime: 0.001787
16:20:59 : INFO | FPS: 611, deltatime: 0.001635
16:20:59 : INFO | FPS: 614, deltatime: 0.001627
16:20:59 : INFO | FPS: 323, deltatime: 0.003088
16:20:59 : INFO | FPS: 589, deltatime: 0.001696
16:20:59 : INFO | FPS: 587, deltatime: 0.001701
16:20:59 : INFO | FPS: 630, deltatime: 0.001585
16:20:59 : INFO | FPS: 632, deltatime: 0.001581
16:20:59 : INFO | FPS: 621, deltatime: 0.001609
16:20:59 : INFO | FPS: 572, deltatime: 0.001745
16:20:59 : INFO | FPS: 559, deltatime: 0.001788
16:20:59 : INFO | FPS: 578, deltatime: 0.001730
16:20:59 : INFO | FPS: 340, deltatime: 0.002935
16:20:59 : INFO | FPS: 614, deltatime: 0.001628
16:20:59 : INFO | FPS: 564, deltatime: 0.001772
16:20:59 : INFO | FPS: 562, deltatime: 0.001776
16:20:59 : INFO | FPS: 610, deltatime: 0.001638
16:20:59 : INFO | FPS: 605, deltatime: 0.001650
16:20:59 : INFO | FPS: 660, deltatime: 0.001513
