16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 4
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
16:02:37 : DEBUG | Player ef337133a8 requesting to move to direction 3
